date,sent_demand_7d,news_demand_7d,nonews_demand_7d,sent_supply_7d,news_supply_7d,nonews_supply_7d,sent_geopolitical_7d,news_geopolitical_7d,nonews_geopolitical_7d,sent_financial_7d,news_financial_7d,nonews_financial_7d
2007-08-09,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-08-10,0.2212552454036015,13.0,0,-0.0118604470044374,6.0,0,-0.0661295099506298,52.0,0,-0.1385569552425295,20.0,0
2007-08-11,0.2212552454036015,13.0,0,-0.0118604470044374,6.0,0,-0.0661295099506298,52.0,0,-0.1385569552425295,20.0,0
2007-08-12,0.2212552454036015,13.0,0,-0.0118604470044374,6.0,0,-0.0661295099506298,52.0,0,-0.1385569552425295,20.0,0
2007-08-13,0.2212552454036015,13.0,0,-0.0118604470044374,6.0,0,-0.0661295099506298,52.0,0,-0.1385569552425295,20.0,0
2007-08-14,0.2212552454036015,13.0,0,-0.0118604470044374,6.0,0,-0.008891211186822252,53.0,0,-0.1385569552425295,20.0,0
2007-08-15,0.2212552454036015,13.0,0,-0.0118604470044374,6.0,0,-0.008891211186822252,53.0,0,-0.1385569552425295,20.0,0
2007-08-16,-0.36923902259709745,14.0,0,-0.48579686880111694,7.0,0,-0.099887751446814,56.0,0,-0.5491451229201629,21.0,0
2007-08-17,-0.9597332905977964,1.0,0,-0.9597332905977964,1.0,0,-0.1167668721949061,4.0,0,-0.9597332905977964,1.0,0
2007-08-18,-0.9597332905977964,1.0,0,-0.9597332905977964,1.0,0,-0.1167668721949061,4.0,0,-0.9597332905977964,1.0,0
2007-08-19,-0.9597332905977964,1.0,0,-0.9597332905977964,1.0,0,-0.1454308121982548,5.0,0,-0.9597332905977964,1.0,0
2007-08-20,-0.9597332905977964,1.0,0,-0.9597332905977964,1.0,0,-0.1454308121982548,5.0,0,-0.9597332905977964,1.0,0
2007-08-21,-0.9597332905977964,1.0,0,-0.9597332905977964,1.0,0,0.1281958685980903,5.0,0,-0.04525308031588793,2.0,0
2007-08-22,-0.9597332905977964,1.0,0,-0.9597332905977964,1.0,0,0.1281958685980903,5.0,0,-0.04525308031588793,2.0,0
2007-08-23,0.0,0.0,1,0.0,0.0,1,0.33323421888053417,2.0,0,0.8692271299660206,1.0,0
2007-08-24,0.0,0.0,1,0.0,0.0,1,0.33323421888053417,2.0,0,0.8692271299660206,1.0,0
