date,headline,url,keyword,source
2015-12-31,Dutch retail chain V&D declared bankrupt,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQQTJQWU16YmsxZm1fWnpjdExLSHhOWWl1ZHBMWkpJSkxkWm1pR1U5c0ZYTjY0WUpQMnR5Zms3eTE5VUdMa1N1TEg3dmFlUW9pT0QxVU5uRU1rT0Nkbk1BRG1kejBCdkthN3VnYzMwVVktbndsSW1DcV9XcEJDS0dZSEw4QkJ4ZTYwZmtwMjd5MjR0eG15eTFJYnJ1ZnNaU1hvVndaX080VzdMUmJDMHd0Y0RabDdJck9aWTVsVk5sMVZxZw?oc=5,brent,Reuters
2015-12-23,Australia's AGL to sell gas to Santos-led Gladstone LNG project,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNUzVrZkF0TU9hVk55bUVPMFNFTmw4cVMyNEhvekxSRm9wZmJUTmV5c19QR182cldTeVZEaS1TZy04bGpUREpMWDROSTBmeE5CZjhJWS1JMDYxWXlWSXNWcklrcUdCTlppbGdtZGVsWUUtSjR0UFByTS1NUk04OVFteG1wMWwtQlJMaC15NGc1TVF5Wl9ZdXppOGw2SDhudWVVNHRvNGE5RGllUTd4TWw3UnZ4Y0NFcF94Rm1tTjJnODducEE?oc=5,brent,Reuters
2015-12-21,Hong Kong exchange to strengthen governance reporting guidelines,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNT1Ezd09PQ1hyUzZlVUduaVVsWmI2R2l2M0J2V2treGhFelppcHYwc0l4U0d3WXgwbHFwajl2NHB1N2pYMFJibXh3NC03Z1ZweDBxczU3R3FWRjVoVjh2VDNEbUY0R2wtanVWVWxPOFJadHQ5amhaYi1DMU5rWk0xc0pBaDJjcG5PSGNyeVFrbE1jbnc0WkV5UVZFdklzblozX2dvN1lNUjJCbzdQNk5HWVJFY3pOMXpFTGhVbFFZRzMwcjZDbjNueEdmZDFyaXBZWGV3?oc=5,brent,Reuters
2015-12-14,Nikkei ends at 7-1/2-week low on oil price worries; Fed jitters,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNWGdPZXh6ZkZNbExMblNULTVwZWtUSFhBMWdVU1NsTWFqUGRsdnN2NlI3ajFCN3VJdUkzOE80ZWtqT0JZbEFqSEE4Mjh4LXJROEhOUGJKLU1ybkNKc1lFNENBMXBrNm9rMDhodFVHWWVIVE9zTUVCODQtTVR5cXFXTUtfYjk1Q1g1TkRUd045aWJLaHN0QW1rcm4tT0pTSlA2Vnk0a1NoV3hwaWlFSHNPX19yaWE1YkJ4amVF?oc=5,brent,Reuters
2015-12-14,Tetragon Financial Group announces final result of tender offer,https://news.google.com/rss/articles/CBMiZEFVX3lxTE11ZEJHSGFPTFBMLVJ4ZFBBRU1aNUV0SzhpS1YtSjR0MWtOb1BKaWRGQXFxaGdzSE9JQ2dnZFVFek5kaGd6aHhEYV9oOUozM19YQ05QTk5HUW1LQ1c1ODFUNTh3d0g?oc=5,brent,Reuters
2015-12-13,Box Office: 'In the Heart of the Sea' flops with $11 million debut,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNZTJVR1Q2RVdfWDlfTEZXdmVhOFQ0RUZfNEI2OHpLMF9hYW9ueGdNR3JaNGdkaEZUMTZoQncybXJpUDdvMkJBa05pTUpPUWo2eHJuSGlNZTA0bnhyamtpMWdwOVJxSGRPdkZXQ3owLVBtSUwxM0hmNUlnYlp0QWxNaWVHVlUzRXVrb1RTcUNiVVNiUVFWQ2N5TExKY0dEeWNiNFp4dHlzOHlPVFJHODI0LUlpTmI2SnRrdzk0?oc=5,brent,Reuters
2015-12-09,Solvay successfully completes acquisition of Cytec,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNTVNWWWRxNkl1Sk5FOWJGZWZsVG0xekptekRBYThQSmNUcUtwWlpRVVdDSE9adW52c3FZLXZ4MHZ2cXRGSzdfdjJmM0IxaWk1NXZpekdvQV9Ub2tDV3ZoWkZiX3ZfdC0xaWs0bW1LLVpXcmt0VWNGMG00TVdTT2NyZXBudzR3M054MkJZSUtiMW1IdGdyNDIwdHdoSnpLY2twSm14Ty1KcHEtZw?oc=5,brent,Reuters
2015-12-04,Euphoria at U.S. jobs numbers; confusion from OPEC surprise,https://news.google.com/rss/articles/CBMisgFBVV95cUxNZ3YzSjY4OUY5dmJiUUc3NzZ2THBvb0FvTnMyaUlXY1BhbHpDSmRXWlZUYUg3dVQzZmRpNDhRX0pXOXlCZmhBSGlkQkxzQW1IZnpfZ211VFpVblBQOHVOaXlQajF2bElPVzVXMWw1bVRGRUh6Vk1ud1FVODR6RW1tX1lTVFJlU2pqUTRwWW1sakpIWFpSVm1yOGJGLVZFNkpxZDlDRkxqSGRVTjdmblMxR3p3?oc=5,brent,Reuters
2015-12-03,"Man’s hoard of nearly 5,000 guns shows ease of amassing arms in U.S.",https://news.google.com/rss/articles/CBMiuAFBVV95cUxOOVJKSUllY0VSdjZ5bTJfcndpUTlpS2JLU1NyT2JqZ2lyWHVEdy1PWk52OEdKWnR0SDhSR19jU1NjVC1JVWliRkloN1Z2SUdpSTQ3Z0x4Y2VQZVJsMTlWNnViTmJ0NjNacDJVaEhUSlZ3ZDlET1czR0d1S2lHcWF6MnAwQVBuVEt2WmY3MmtPWDBOZHhab3dNWHFaOEhvNDh0TjllV3EtckYwSzZMX0VRSWdzN2hWc19D?oc=5,brent,Reuters
2015-12-03,Limitar bombeo de Teherán está fuera de la discusión: Ministro de Petróleo de Irán,https://news.google.com/rss/articles/CBMiZkFVX3lxTFBsM0gybFFDS3lRR1FzMlEyZlNXYnV3c2NNbm5RTHdpeTRuakVvSXFnNDlmMzVSUnkxRXNHNkRzX2V4TmpZNGowUzBxcUoyV29kQWRfNkhXUUNFT21Za1VTOHpTcGRvQQ?oc=5,brent,Reuters
