variable,mean_abs_shap,mean_shap_signed,sign_positive_ratio,rank
MA_ratio,0.1528263496944078,0.02129844427841837,0.358274280950396,1
OilPrice,0.13962078647421636,-0.000680944761976141,0.4812421842434348,2
oil_volatility_20,0.13544253267297165,-0.0037579391655063418,0.5664860358482701,3
oil_diff_lag1,0.10164299733474863,7.799771480750785e-05,0.5139641517298874,4
OilInventories,0.10102787377194909,-0.004680036191451101,0.48207586494372656,5
VIX,0.09368798062409073,0.0020047966265992656,0.45373072113380575,6
CPE,0.0889881399528449,-0.005919745314951037,0.629845769070446,7
IndustryProduction,0.0716109531283014,-0.003074667645681366,0.5170904543559817,8
RealInterestRate,0.07110715470150726,-1.1951898619001006e-07,0.4283034597749062,9
OPECProduction,0.05974960398869211,-0.0002810070291734881,0.5660691954981242,10
gfc_2008_shock,0.03516391796675752,-0.0032639644760197894,0.984160066694456,11
is_friday,0.02739480139003968,0.0003295031446081343,0.7640683618174239,12
opec_2014_regime,0.012688533128102737,0.0015800802588924383,0.8405585660691955,13
war_2022_shock,0.011651878520158135,-0.0014904903045571058,0.020842017507294707,14
covid_2020_shock,0.008442014952795297,-0.001965361379487408,0.988328470195915,15
opec_2014_shock,0.008108404249397353,-0.00025537452696779747,0.9910379324718632,16
war_2022_window,0.0013495544738909657,7.88282914320438e-05,0.004376823676531888,17
MA_5_gt_MA_20,0.0,0.0,0.0,18
cond_opec_cut,0.0,0.0,0.0,19
