variable,coef,SE_HC3,p_HC3,std_beta,sig
OilPrice,-0.15424603873683929,0.13702406897392436,0.26029856716112143,-0.31023303942335206,
RealInterestRate,0.3592241380830781,0.16827545869196886,0.03278235794478883,0.07218627536816573,**
VIX,-0.03831411260383769,0.021173298608021085,0.07036581880930658,-0.07623626080790857,*
IndustryProduction,-0.10807990399689207,0.08943766057406684,0.22687867438049503,-0.13241029389319275,
CPE,0.0017844196531534274,0.000651906225605637,0.006195827118907936,0.2720131320656221,***
OilInventories,-1.660890101931276e-05,6.195784306275113e-06,0.007347323606488361,-0.07970257263530404,***
OPECProduction,-0.00013945225187921907,0.00014826992644425936,0.3469459833464349,-0.0812084237545538,
oil_diff_lag1,-0.06305663990962469,0.032707392365771366,0.05386734450492448,-0.12680241591308122,*
oil_volatility_20,0.1276454655373086,0.10052741979178513,0.2041709518569872,0.15963683899675038,
MA_ratio,-6.4184007545559565,3.2352640178032948,0.047268351336644886,-0.3712915322961873,**
MA_5_gt_MA_20,0.41913526491922354,0.23730745770352757,0.07736029886598846,0.20857285753260124,*
is_friday,-0.1234180524535384,0.08990459872879425,0.16982484061516978,-0.04938008232080492,
gfc_2008_shock,-1.6288197112750744,0.7645272798026389,0.0331309661944262,-0.20338916942136287,**
opec_2014_shock,-0.8997083197691818,0.3765849942855725,0.01688859235948737,-0.08480007646745533,**
opec_2014_regime,-0.1393971561664143,0.11004927246435499,0.2052699170786274,-0.03218317045682304,
covid_2020_shock,-0.8346474510995703,1.3412048912006165,0.5337369512725306,-0.08965259788123782,
war_2022_shock,-1.273131607070263,0.8890864370677968,0.15215675235498166,-0.1240724765209128,
war_2022_window,2.543174666955831,1.5900996027382268,0.10973603086703612,0.1678991416099652,
cond_opec_cut,-0.2020607293493792,0.10461197824500483,0.05341806853458277,-0.08717323250958602,*
