variable,is_sentiment,std_beta,p_HC3,sig_OLS,sign_OLS,mean_abs_shap,rank_shap,sign_SHAP,sign_match,case
OilPrice,False,-0.3234206132912803,0.2623267972569425,False,-,0.14400350308971405,1,-,True,순수 비선형 효과
MA_ratio,False,-0.2868516502653953,0.1451200153018039,False,-,0.10701735621252818,2,+,False,순수 비선형 효과
oil_diff_lag1,False,-0.1402098747913315,0.048686463207259,True,-,0.10481382835370838,3,+,False,상호작용 의심
VIX,False,-0.0590729014053336,0.1783419019351847,False,-,0.0903462570246431,4,-,True,순수 비선형 효과
TreasuryYield,False,0.0669361984081037,0.2594793068889087,False,+,0.08073735442986553,5,-,False,순수 비선형 효과
OilInventories,False,-0.0180508312338815,0.7595907372085384,False,-,0.08068679994689507,6,+,False,순수 비선형 효과
OPECProduction,False,-0.1122744542761141,0.0846599526974934,False,-,0.07869304816603635,7,-,True,순수 비선형 효과
RealInterestRate,False,-0.0601217780298844,0.0905029688417217,False,-,0.0662821038344279,8,+,False,상호작용 의심
CPE,False,-0.2196907041400855,0.0686048550671229,False,-,0.0661899716023222,9,+,False,상호작용 의심
sent_supply_7d,True,-0.0058684933700303,0.8444279330278848,False,-,0.0660884999826641,10,+,False,상호작용 의심
sent_financial_7d,True,0.030674065970485,0.3629822313149405,False,+,0.053248305399402555,11,-,False,상호작용 의심
sent_demand_7d,True,0.001877916779443,0.9456681517553336,False,+,0.05256478153555827,12,+,True,약한 효과
gfc_2008_shock,False,-0.1091431141560667,0.2278202742096645,False,-,0.049984780496798144,13,-,True,약한 효과
sent_geopolitical_7d,True,-0.0034611825502363,0.922752086670456,False,-,0.045743766877298135,14,+,False,상호작용 의심
IndustryProduction,False,0.1036952991797118,0.1735603861995133,False,+,0.039038726765998955,15,+,True,약한 효과
is_friday,False,-0.0420177076796219,0.2557646107120258,False,-,0.022095989003271584,16,+,False,상호작용 의심
gfc_2008_regime,False,0.0814453409037654,0.1044262323329045,False,+,0.009298663624886063,17,+,True,약한 효과
vix_high,False,-0.0621361203295646,0.4638552075314621,False,-,0.007496600150824929,18,-,True,약한 효과
war_2022_window,False,0.1112688080466519,0.219699854675722,False,+,0.002685372691280035,19,+,True,선형 효과 위주
covid_2020_window,False,-0.0966180910937889,0.2435433957476428,False,-,0.0014027951377676492,20,+,False,상호작용 의심
MA_5_gt_MA_20,False,0.1729333373095994,0.1361419411180254,False,+,0.0,21,+,True,선형 효과 위주
opec_2014_window,False,-0.0645475368032448,0.0335441436148078,True,-,0.0,22,+,False,상호작용 의심
cond_opec_cut,False,-0.0729877636713217,0.0619257626648156,False,-,0.0,23,+,False,상호작용 의심
